wmc,dit,noc,cbo,rfc,lcom,loc,bug
11,6,0,11,70,47,672,False
10,1,0,19,38,0,191,False
9,1,0,20,43,0,466,False
1,2,0,5,2,0,5,False
3,2,0,4,6,0,32,False
4,1,0,1,4,6,4,False
34,1,1,21,70,507,589,False
6,1,0,2,13,0,75,False
1,2,0,3,2,0,5,False
31,5,0,79,111,273,698,False
1,1,0,48,1,0,1,False
23,6,0,29,73,201,403,False
3,1,0,7,3,3,3,False
12,1,0,10,24,26,182,False
3,2,0,11,10,3,81,False
10,2,0,11,24,45,99,False
4,1,0,5,4,6,4,False
1,1,0,8,1,0,1,False
4,2,0,4,6,0,83,False
7,4,1,4,25,19,130,False
2,1,0,9,2,1,2,False
2,1,0,4,4,1,12,False
2,1,0,4,9,1,57,False
4,2,0,7,21,0,79,False
1,1,0,5,1,0,1,False
21,1,0,10,36,96,559,False
4,5,0,9,23,0,82,False
2,1,0,4,4,1,11,False
4,2,0,12,24,6,190,False
3,2,0,9,26,0,172,False
2,1,0,8,2,1,2,False
8,7,0,12,41,22,212,False
6,2,0,8,15,5,68,False
8,1,0,15,76,0,930,False
10,6,0,7,47,19,254,False
10,2,0,11,38,13,294,False
2,1,0,4,4,1,12,False
6,1,0,6,26,15,193,False
5,1,0,2,17,4,133,False
2,2,0,6,9,1,32,False
16,1,2,17,39,74,360,False
70,1,0,77,187,2409,2017,False
12,5,0,16,73,6,445,False
2,2,0,12,10,1,136,False
2,1,0,27,4,1,72,False
1,1,0,4,1,0,1,False
31,1,0,3,44,139,1283,False
262,4,3,81,540,19801,9460,False
13,3,0,17,28,52,135,False
4,1,5,9,5,6,10,False
10,7,0,10,69,19,403,False
3,2,0,11,14,3,61,False
24,1,0,1,41,198,749,False
4,2,0,6,12,0,35,False
5,6,0,6,42,0,523,False
19,2,0,13,47,79,552,False
2,4,0,5,10,0,31,False
3,2,0,7,10,3,52,False
2,1,0,4,4,1,12,False
4,1,0,3,12,0,46,False
15,1,0,3,30,79,923,False
5,1,0,3,12,8,42,False
32,1,0,6,53,0,2884,False
11,2,0,7,38,23,541,False
12,6,0,9,72,32,657,False
12,3,2,57,25,14,216,False
27,1,0,20,65,65,1240,False
8,1,0,5,10,4,75,False
4,2,0,9,9,4,47,False
6,8,0,10,26,13,177,False
21,2,0,19,87,208,665,False
1,1,0,3,1,0,1,False
3,1,0,11,21,3,119,False
2,2,0,4,4,1,8,False
6,5,0,11,30,5,139,False
2,1,0,4,4,1,12,False
7,1,0,8,29,0,248,False
3,1,0,8,23,3,101,False
23,2,1,3,51,195,300,False
12,1,0,16,39,20,232,False
4,2,0,4,17,4,94,False
3,2,0,5,13,3,86,False
5,6,0,7,34,2,203,False
7,1,0,9,29,21,113,False
7,1,0,40,7,21,7,False
118,1,0,1,180,6075,5209,False
1,4,0,3,2,0,5,False
13,1,0,7,33,26,261,False
5,2,0,12,13,0,94,False
9,1,0,7,21,0,87,False
5,7,0,9,64,6,312,False
2,1,0,4,4,1,12,True
10,2,0,3,21,15,148,False
7,4,0,3,64,5,427,False
12,1,0,12,66,0,675,False
7,5,0,16,56,7,610,False
4,1,0,4,19,4,82,False
22,7,0,8,85,187,695,False
7,1,0,1,19,1,437,False
3,6,0,3,23,1,229,False
14,2,0,10,33,29,400,False
17,1,0,4,31,0,970,False
2,3,0,12,21,1,336,False
4,2,0,8,12,6,80,False
10,6,0,12,57,15,687,False
27,1,0,19,96,295,745,False
14,1,0,17,72,21,1597,False
5,1,8,13,6,10,54,False
22,6,0,23,115,167,561,True
2,2,0,7,6,1,28,False
9,6,0,7,40,0,162,False
3,1,0,9,6,3,44,False
51,1,0,5,67,51,7188,False
5,1,2,7,20,4,126,False
8,8,0,12,20,28,146,False
2,1,2,8,4,1,11,False
5,2,0,10,13,4,55,False
11,2,0,22,57,53,455,False
8,7,0,6,60,20,295,False
19,1,0,31,50,91,458,False
4,2,0,4,6,4,20,False
7,2,0,10,29,0,615,False
3,6,0,8,14,3,46,False
2,1,0,3,2,1,2,False
15,3,1,16,87,0,1296,False
2,2,0,7,6,1,36,False
4,2,0,11,20,6,290,False
10,2,0,4,29,17,278,False
2,2,0,16,25,1,179,False
14,1,1,32,47,55,535,False
8,1,0,2,11,0,256,False
3,2,0,11,17,3,149,False
2,2,0,17,28,1,235,False
9,1,0,7,15,36,84,False
7,1,0,8,18,13,87,False
5,7,0,8,52,2,372,False
4,2,1,6,21,4,129,False
2,1,0,3,2,1,2,False
45,1,0,44,85,820,1940,False
8,1,0,1,47,10,473,False
10,4,0,16,25,23,135,False
2,5,1,11,5,1,12,False
2,2,0,10,10,1,41,False
8,6,0,9,68,8,457,False
5,7,0,9,30,4,156,False
2,2,0,1,5,1,14,False
5,1,2,5,11,10,175,False
4,2,0,21,12,0,170,False
7,7,0,7,48,13,401,False
19,5,0,39,108,111,790,False
20,5,1,14,75,104,391,False
21,1,1,29,50,156,601,False
3,2,0,9,28,0,177,False
19,1,2,16,55,0,398,False
11,1,0,11,57,23,515,False
119,1,1,90,279,5913,4045,True
12,6,0,3,31,28,269,False
1,1,0,2,2,0,8,False
90,6,0,234,339,3509,3081,True
6,1,0,3,24,0,218,False
11,7,0,9,71,29,408,False
3,1,0,2,18,3,117,False
3,4,0,10,9,1,44,False
2,1,0,4,4,1,12,False
19,1,0,1,32,35,443,False
2,2,0,10,12,1,67,False
1,1,0,2,1,0,1,False
8,2,0,17,25,4,252,False
1,1,0,2,1,0,196,False
1,1,0,4,1,0,1,False
4,1,0,5,4,6,4,False
7,1,8,11,13,19,102,False
4,1,0,6,37,6,325,False
17,1,0,5,46,130,819,False
2,1,0,4,2,1,2,False
2,1,0,3,2,1,2,False
14,6,0,18,90,59,470,False
13,1,0,2,23,0,498,False
27,1,0,21,69,351,1201,False
3,1,0,8,6,3,17,False
17,5,0,23,77,76,498,False
68,5,0,75,291,1812,2351,False
10,6,0,6,58,17,269,False
5,1,0,7,20,0,132,False
11,2,0,6,39,21,256,False
20,2,0,12,84,46,798,False
12,6,0,9,58,26,748,False
22,6,0,10,75,195,532,False
74,1,0,154,228,2673,2274,False
3,5,0,5,13,0,47,False
7,1,0,10,23,19,216,False
39,5,0,79,244,231,1783,True
16,7,0,8,91,82,780,False
6,1,0,6,9,15,34,False
5,2,0,10,21,4,187,False
31,6,0,35,121,283,1546,False
4,6,0,5,34,6,150,False
5,2,0,4,11,10,44,False
11,1,2,20,37,29,353,False
18,1,1,6,32,75,453,False
3,1,0,10,20,3,89,False
4,3,3,51,12,6,50,False
2,1,0,4,2,1,2,False
13,2,6,31,22,66,99,False
3,1,0,11,35,1,228,False
3,2,0,1,12,3,88,False
7,2,0,4,21,15,141,False
32,1,0,13,65,408,559,False
10,5,0,8,30,31,158,False
6,3,0,2,19,15,184,False
9,2,0,23,69,12,519,False
6,2,0,11,14,5,86,False
5,1,0,2,5,10,5,False
17,1,0,5,17,136,17,False
9,2,0,17,71,24,667,False
11,2,0,11,40,0,584,False
15,1,0,19,74,47,561,False
49,1,0,13,128,1014,1254,False
2,1,0,4,9,0,59,False
10,1,1,13,44,25,230,False
7,1,0,1,10,0,100,False
44,5,1,35,88,884,658,False
8,2,0,29,64,28,441,False
3,1,0,11,27,0,204,False
3,7,0,5,14,1,64,False
5,1,0,4,33,0,161,False
4,1,0,7,39,4,235,False
20,1,0,15,45,62,603,False
3,2,0,12,16,1,123,False
13,6,0,16,86,50,638,False
7,6,19,22,18,15,69,False
2,2,0,4,3,1,10,False
11,1,0,3,17,0,514,False
2,1,0,6,5,1,12,False
1,1,0,1,1,0,1,False
18,5,0,19,78,119,424,False
2,3,0,9,4,1,9,False
14,6,0,11,57,57,260,False
8,1,2,8,14,8,175,False
9,1,2,10,12,28,91,False
15,1,0,20,63,105,397,False
2,1,0,4,4,1,12,True
5,1,1,14,12,6,169,False
55,4,0,31,132,1121,956,True
20,1,0,47,45,190,841,False
13,6,0,9,56,44,316,False
11,1,0,48,37,23,187,False
1,2,0,3,2,0,5,False
7,1,0,11,31,21,300,False
8,6,8,26,25,24,100,False
7,3,0,4,19,5,100,False
8,3,0,12,26,14,195,False
10,2,0,5,32,21,164,False
9,1,1,3,10,36,20,False
148,1,0,346,510,10050,5420,False
2,1,0,4,4,1,12,True
13,1,0,17,38,72,644,False
4,1,0,4,8,6,145,False
5,1,15,60,15,0,57,False
16,6,0,15,101,80,577,False
15,7,0,8,62,81,368,False
2,1,0,4,4,1,12,False
4,1,1,4,12,6,37,False
86,2,0,9,97,3649,709,False
39,7,0,33,190,535,2164,False
33,1,0,21,108,70,1485,False
5,2,1,10,13,4,61,False
12,5,0,18,61,36,377,True
3,6,0,2,9,1,37,False
5,1,0,6,18,6,161,False
20,1,0,23,79,102,1583,False
4,1,0,6,25,6,124,False
20,2,1,5,55,60,320,False
2,1,0,15,2,1,2,False
22,2,0,14,90,73,663,False
17,6,1,9,59,92,417,False
3,1,0,3,3,3,6,False
1,1,0,6,1,0,1,False
19,7,0,21,110,115,685,False
8,1,2,8,32,0,224,False
17,7,2,15,117,100,878,False
5,7,0,7,34,0,159,False
2,2,0,3,5,1,74,False
4,2,0,13,14,6,113,False
1,1,0,6,1,0,1,False
12,1,0,3,25,0,212,False
9,2,0,20,27,18,288,False
10,5,0,8,44,43,218,False
7,1,1,8,19,21,70,False
7,2,0,3,18,0,366,False
4,2,0,5,25,0,187,False
3,6,0,2,17,1,325,False
6,1,2,7,19,7,141,False
6,1,0,1,6,15,6,False
23,1,0,21,69,175,533,False
5,2,0,7,12,0,60,False
10,2,0,11,29,0,178,False
2,2,0,7,5,1,22,False
8,6,0,15,52,10,339,False
15,2,0,7,40,49,195,False
13,1,0,57,28,0,161,False
12,1,0,7,28,16,259,False
8,3,0,9,29,10,216,False
18,2,0,9,38,153,96,False
16,1,0,1,33,4,258,False
19,1,0,5,48,151,1417,False
2,1,0,4,4,1,12,False
5,6,0,8,35,0,183,False
2,2,0,4,3,1,8,False
2,1,0,4,4,1,12,True
4,2,0,6,12,6,140,False
3,1,0,2,16,1,84,False
18,6,3,26,60,69,252,False
18,5,0,16,76,89,348,False
2,1,0,5,2,1,2,False
2,8,0,4,3,1,13,False
19,2,0,17,38,147,193,False
10,1,0,13,37,3,222,False
14,7,0,13,98,51,799,False
19,1,38,62,30,147,242,False
6,5,0,9,29,5,141,False
11,4,0,6,23,23,494,False
1,1,0,16,1,0,1,False
16,2,1,27,87,14,718,False
9,2,0,8,29,0,708,False
1,1,0,10,1,0,1,False
15,6,0,14,47,79,230,False
8,1,0,2,9,28,18,False
2,1,0,2,3,1,5,False
0,1,0,1,0,0,179,False
7,6,0,11,56,13,522,False
26,1,0,60,81,217,412,False
6,1,0,0,15,0,39,False
9,2,0,16,23,16,189,False
14,1,0,8,29,0,378,False
10,2,0,4,27,21,220,False
3,4,0,15,53,0,285,False
8,1,0,1,14,8,178,False
8,2,0,8,19,10,378,False
2,1,0,3,2,1,2,False
20,5,0,27,144,154,1034,False
3,1,0,10,3,3,3,False
6,6,0,9,58,5,357,False
3,2,0,7,8,0,29,False
24,5,0,28,106,80,530,False
5,3,0,1,6,2,36,False
4,6,0,6,29,0,315,False
2,2,0,9,7,1,29,False
4,1,0,7,5,6,9,False
21,2,2,13,86,134,891,False
1,1,0,1,1,0,1,False
7,1,0,3,7,21,7,False
16,1,2,29,26,88,119,False
8,1,0,8,8,28,8,False
7,1,0,9,10,0,64,False
2,2,0,1,4,1,16,False
5,1,0,3,32,8,300,False
1,1,0,13,1,0,672,False
2,1,0,3,2,1,2,False
20,5,0,31,131,178,853,False
37,5,0,45,139,484,775,False
8,5,0,6,25,6,173,False
14,1,0,2,16,91,38,False
2,2,0,4,6,0,44,False
8,1,0,6,19,0,214,False
1,4,0,24,2,0,5,False
13,7,0,12,75,40,814,False
4,6,0,2,21,0,264,False
23,1,0,25,98,95,734,False
8,1,0,13,64,0,485,False
1,1,0,7,1,0,1,False
2,1,0,6,2,1,2,False
8,2,0,20,21,26,89,False
7,1,2,19,8,0,41,False
11,2,1,12,54,25,444,False
3,2,0,5,9,0,36,False
3,3,1,7,5,3,19,False
2,2,0,1,4,1,16,False
10,1,0,18,33,7,207,False
