wmc,dit,noc,cbo,rfc,lcom,loc,bug
5,2,0,12,13,0,93,False
10,2,0,9,26,0,143,False
9,2,0,20,27,18,288,False
5,2,0,10,21,4,187,False
4,1,0,5,8,2,239,False
51,4,0,25,131,927,923,True
4,3,3,46,12,6,50,False
13,6,0,9,56,44,316,False
6,1,0,14,7,7,38,False
3,6,0,4,30,1,335,False
11,1,0,11,54,0,302,False
5,3,0,4,18,8,176,False
9,6,1,17,34,26,142,False
7,3,0,12,23,5,191,False
15,1,1,28,47,69,523,False
130,1,0,258,450,7403,5494,True
3,2,0,11,14,3,61,False
2,1,0,6,2,1,2,False
1,1,0,2,2,0,8,False
9,2,0,20,52,16,398,True
6,2,0,9,14,5,86,False
4,3,0,1,8,4,82,False
2,1,0,5,2,1,2,False
32,1,1,40,161,236,1927,True
3,1,0,12,31,3,153,False
3,1,0,4,4,3,23,False
2,2,0,9,7,1,29,False
10,6,0,4,34,21,313,False
4,1,0,2,5,0,59,False
14,1,0,20,27,0,386,False
32,1,0,6,53,0,2884,False
8,2,0,8,19,10,379,False
16,5,0,18,120,88,873,True
6,7,0,8,47,9,300,False
6,5,0,16,50,1,546,False
4,1,0,4,16,4,67,False
3,2,0,7,8,0,29,False
1,4,0,1,2,0,5,False
2,2,0,7,5,1,22,False
5,3,0,11,6,2,36,False
6,2,0,20,44,15,372,False
4,4,0,2,25,0,197,False
26,1,0,19,101,271,787,False
12,1,0,14,59,18,1572,True
5,1,7,11,6,10,54,False
20,6,0,20,107,142,569,True
3,2,0,11,10,3,81,False
16,1,0,3,35,100,679,False
4,2,0,11,25,6,208,False
2,2,0,3,3,1,8,False
11,1,0,2,16,35,52,False
2,2,0,5,6,1,65,False
26,1,0,20,65,73,1311,True
8,1,0,4,10,4,75,False
8,2,0,10,26,0,153,False
5,6,0,5,33,0,431,False
12,1,0,7,28,16,258,False
16,1,0,1,34,4,259,False
259,4,0,83,522,16973,9932,True
5,2,0,11,10,2,128,False
20,6,0,21,65,146,352,True
6,1,0,16,35,9,162,False
16,6,0,14,95,80,559,False
4,2,0,2,6,0,83,False
42,1,0,22,105,325,2076,True
5,2,0,5,13,4,52,False
4,2,0,7,20,0,79,True
4,1,0,6,25,6,124,False
2,1,0,8,2,1,2,False
12,6,0,12,42,44,211,False
9,1,0,20,43,0,466,False
5,6,0,7,34,2,203,False
4,2,0,9,9,4,47,False
5,6,0,7,46,4,395,False
1,2,0,2,2,0,6,False
5,1,0,3,32,8,300,False
13,1,0,7,33,26,261,False
4,3,0,9,13,0,71,False
12,2,0,4,29,40,216,False
2,2,0,7,6,1,28,False
9,1,0,14,29,0,180,False
11,5,0,12,55,21,231,False
3,2,0,12,20,3,294,False
2,8,0,5,3,1,13,False
21,1,0,17,67,4,492,False
14,7,0,14,95,51,773,False
2,2,0,12,10,1,136,False
6,5,0,10,29,5,139,False
6,5,0,9,29,5,141,False
10,2,0,11,24,45,99,False
19,1,1,20,58,93,451,False
351,1,0,51,443,41713,12200,False
13,1,0,57,28,0,161,False
25,5,0,29,87,192,497,True
6,8,0,7,14,15,147,False
14,1,12,14,16,91,38,False
11,4,0,6,23,23,494,False
8,7,0,6,60,20,294,False
86,2,0,9,97,3649,709,False
2,2,0,4,4,1,10,False
7,2,0,10,30,0,617,False
13,2,0,14,124,8,1749,False
3,6,0,8,14,3,46,False
2,2,0,11,11,1,53,False
2,1,0,3,2,1,2,False
5,1,0,3,12,0,254,False
3,2,0,6,9,0,36,False
6,2,0,5,25,3,215,False
2,2,0,1,4,1,16,False
6,1,0,4,7,0,118,False
3,2,0,4,9,1,106,False
11,1,2,20,37,29,353,False
6,2,0,14,16,15,113,False
13,1,5,26,20,48,71,False
1,1,0,12,2,0,16,False
1,1,0,13,1,0,672,False
12,6,0,3,31,28,269,False
64,6,0,154,268,1652,2220,True
3,2,0,4,8,0,151,False
21,1,0,8,32,18,841,False
8,7,0,15,57,8,429,False
6,1,0,5,26,15,193,False
20,1,0,23,79,102,1578,False
5,1,5,6,11,10,48,False
4,1,0,6,37,6,326,False
3,2,0,12,16,1,123,False
2,1,0,4,2,1,2,False
46,1,0,44,89,869,2089,False
32,1,0,25,114,496,1517,False
21,1,0,15,49,82,658,False
5,6,18,21,16,10,56,False
4,2,0,4,17,6,86,False
15,5,21,24,33,71,437,False
2,2,0,4,3,1,10,False
3,3,0,3,7,3,33,False
8,1,2,8,14,8,175,False
8,6,0,9,25,16,105,False
1,1,0,2,1,0,196,False
164,1,0,138,378,12328,5866,True
12,7,0,13,69,32,692,False
2,2,0,1,5,1,14,False
7,2,0,4,21,0,299,False
5,2,0,5,22,0,206,False
4,1,0,2,7,0,62,False
5,1,0,7,5,10,5,False
10,1,3,20,22,43,164,False
17,5,0,21,76,76,496,False
61,5,0,65,218,1430,1885,True
12,3,2,56,25,14,216,False
14,2,0,5,39,19,306,False
58,1,0,71,166,1341,1720,False
15,2,0,9,59,7,519,True
14,6,0,10,56,35,708,False
4,1,1,4,12,6,37,False
25,5,0,39,156,134,936,False
15,7,0,8,87,71,726,False
2,2,0,15,24,1,177,False
6,1,0,13,45,11,545,True
3,7,0,5,27,3,111,False
9,1,0,10,55,14,607,True
3,2,0,5,11,0,87,False
2,1,0,2,4,1,55,False
5,1,0,4,33,0,161,False
13,6,0,10,68,42,512,False
2,3,0,9,4,1,9,False
8,7,0,12,41,22,212,False
6,2,0,7,15,5,68,False
9,1,0,13,73,10,922,False
10,6,0,7,47,19,254,False
8,1,0,2,11,0,256,False
10,2,0,11,36,13,291,False
2,2,0,2,5,1,74,False
5,1,0,2,17,4,137,False
2,2,0,6,9,1,32,False
53,1,0,100,145,1370,2291,True
7,1,0,39,7,21,7,False
6,2,0,4,12,0,343,False
2,1,0,19,4,1,72,False
2,2,0,10,7,1,79,False
1,4,0,22,2,0,5,False
12,2,0,13,61,20,435,False
2,2,0,7,6,1,36,False
5,2,0,5,12,0,60,False
10,7,0,9,67,19,375,False
6,1,0,3,11,9,135,False
5,2,0,4,21,8,106,False
5,2,0,7,21,4,154,False
43,1,0,42,148,583,1738,True
10,1,0,8,46,33,569,False
4,1,0,2,7,0,59,False
7,1,0,30,25,9,182,False
47,2,1,41,109,1019,2547,False
1,2,0,3,2,0,5,False
6,2,0,4,22,3,283,False
5,1,0,2,5,10,5,False
1,2,0,5,2,0,5,False
74,1,1,53,147,2353,1785,True
12,2,0,5,34,42,188,False
1,2,0,3,2,0,5,False
8,2,0,20,21,26,89,False
11,2,0,5,34,41,321,False
31,1,0,11,47,377,382,False
11,1,0,2,14,49,50,False
5,1,0,9,5,10,5,False
6,3,0,2,19,15,184,False
10,2,0,11,38,0,611,True
15,1,0,16,81,47,651,False
3,1,0,7,19,0,91,False
2,1,0,3,8,0,51,False
41,5,0,41,143,560,1660,True
8,5,0,5,33,0,419,False
3,7,0,5,10,1,41,False
5,7,0,5,40,6,219,True
11,2,0,3,24,25,177,False
4,4,0,3,49,0,236,False
5,2,0,4,11,10,44,False
1,1,0,1,2,0,6,False
7,1,0,7,12,13,64,False
22,7,0,8,85,187,698,False
8,2,0,17,25,4,252,False
24,5,0,24,96,88,463,True
3,6,0,4,23,1,208,False
14,2,0,8,35,37,327,False
8,1,13,15,9,12,65,False
18,2,1,12,72,97,1169,True
6,1,0,4,6,15,6,False
16,1,2,20,25,88,119,False
3,6,0,2,15,1,126,False
51,1,0,5,67,51,7191,False
7,1,0,7,10,0,64,False
0,1,0,1,0,0,179,False
6,6,0,8,38,0,253,False
12,2,0,7,36,36,504,False
5,6,0,4,22,4,450,False
4,2,0,4,8,4,55,False
29,6,2,26,94,240,621,False
8,6,0,15,45,12,339,False
11,2,0,8,31,0,178,False
13,2,0,9,40,28,418,True
16,3,0,10,56,50,524,False
6,1,0,1,6,15,6,False
4,2,0,21,12,0,169,False
1,1,0,35,1,0,1,False
4,2,0,13,14,6,113,False
7,1,13,42,16,9,62,False
14,7,0,7,55,67,357,False
39,7,0,30,173,511,1973,False
2,1,0,8,2,1,2,False
12,5,0,19,68,36,437,False
17,1,0,9,31,48,507,False
4,5,0,7,17,0,61,False
8,2,0,28,64,28,437,False
7,1,1,3,8,21,16,False
3,2,0,4,5,3,20,False
4,2,0,4,9,0,80,False
11,7,0,11,64,29,397,False
118,1,0,13,180,6075,5189,False
26,1,0,53,81,217,413,False
9,1,0,2,17,2,234,False
13,1,0,16,40,72,583,False
35,1,1,21,77,535,652,False
5,2,0,5,12,0,127,False
23,1,0,6,57,41,1260,False
2,2,0,10,12,1,67,False
6,8,0,10,26,13,177,False
1,1,0,1,2,0,6,False
18,2,0,14,80,153,591,True
3,1,0,11,21,3,117,False
19,1,38,62,30,147,242,False
7,1,0,0,48,21,334,False
3,2,0,9,16,0,146,False
7,1,0,8,28,0,246,False
3,1,0,8,22,3,101,False
2,1,0,2,2,1,2,False
12,1,0,15,38,20,235,True
3,4,0,10,9,1,44,False
2,2,0,7,7,1,32,False
2,2,0,10,10,1,41,False
2,1,2,6,4,1,11,True
5,2,0,5,13,4,52,False
2,2,0,9,7,1,24,False
18,1,0,32,51,75,491,True
5,2,0,12,35,6,221,False
4,6,0,2,21,0,242,False
23,1,0,20,93,105,700,True
3,2,0,4,8,0,77,False
5,1,0,11,35,0,210,False
10,4,0,16,25,23,135,False
11,2,0,5,28,31,240,False
4,2,0,10,8,4,37,False
