wmc,dit,noc,cbo,rfc,lcom,loc,bug
4,1,0,5,4,6,4,False
5,2,0,5,12,0,127,False
5,7,0,6,39,6,214,False
5,3,0,4,18,8,173,False
11,2,0,2,24,35,163,False
6,6,0,6,36,3,203,False
2,1,0,4,2,1,2,False
45,1,0,41,77,898,1473,False
37,1,0,24,112,666,1583,False
10,1,0,2,16,0,388,False
1,1,0,1,2,0,6,False
22,1,0,14,52,107,648,False
2,1,0,3,2,1,3,False
17,7,0,5,76,98,629,False
3,2,0,11,15,1,132,False
3,6,17,20,13,3,43,False
14,1,7,9,16,91,38,False
5,3,0,8,13,4,47,False
8,7,0,6,58,20,293,False
11,1,0,18,24,11,170,False
5,2,0,11,33,6,204,False
2,2,0,9,7,1,28,False
28,5,0,27,78,230,697,True
2,2,0,10,6,1,30,False
5,1,0,11,27,0,158,True
8,5,0,5,31,0,418,False
3,6,0,4,13,1,54,False
12,6,0,10,65,34,448,True
2,3,0,7,4,1,9,False
11,2,0,6,28,31,222,False
2,8,0,8,24,1,126,False
13,7,0,17,86,48,530,True
2,2,0,7,6,1,28,False
4,5,0,5,26,0,112,True
1,1,0,1,2,0,6,False
21,2,0,12,94,210,760,False
5,6,0,4,35,0,404,False
14,7,0,13,78,55,660,False
19,1,35,50,31,147,239,False
1,3,0,3,2,0,5,False
2,2,0,10,9,1,40,False
2,1,0,5,2,1,2,False
20,1,0,11,30,152,212,True
5,6,0,10,33,4,142,False
7,6,0,7,32,11,137,False
11,1,0,2,14,49,50,False
6,3,0,12,14,5,87,False
5,1,0,8,5,10,5,False
2,1,0,2,2,1,2,False
5,1,0,9,14,0,82,True
6,3,0,2,20,15,183,False
11,1,0,39,25,0,135,False
14,5,0,19,67,55,361,True
6,2,0,16,46,15,279,False
